                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.43284,                0.79068,                 1.0133,                0.94286,                      1,                  0.995,                 0.8955,                0.38662,                 1.5895,                  1.136,             0.00029575,             0.00029575,             0.00029575
                     37,                0.52103,                0.83365,                  1.049,                0.95152,                      1,                  0.995,                 0.8955,                0.47351,                 1.5816,                 1.2304,             0.00029232,             0.00029232,             0.00029232
                     38,                0.37556,                0.78236,                0.98597,                0.95152,                      1,                  0.995,                 0.8955,                0.47351,                 1.5816,                 1.2304,             0.00028823,             0.00028823,             0.00028823
                     39,                0.44986,                0.70814,                 1.0909,                0.94867,                      1,                  0.995,                 0.8955,                0.64557,                 1.8138,                 1.4345,             0.00028348,             0.00028348,             0.00028348
                     40,                0.41575,                0.69792,                0.92813,                0.94867,                      1,                  0.995,                 0.8955,                0.64557,                 1.8138,                 1.4345,             0.00027807,             0.00027807,             0.00027807
                     41,                0.47153,                 0.7962,                 1.0832,                0.93811,                      1,                  0.995,                 0.8955,                0.66426,                 1.8691,                 1.4728,               0.000272,               0.000272,               0.000272
                     42,                0.38662,                0.66747,                0.94625,                0.93811,                      1,                  0.995,                 0.8955,                0.66426,                 1.8691,                 1.4728,             0.00026527,             0.00026527,             0.00026527
                     43,                0.52856,                0.72318,                 1.0184,                0.92803,                      1,                  0.995,                 0.8955,                0.54968,                 1.8542,                 1.4393,             0.00025788,             0.00025788,             0.00025788
                     44,                0.46678,                0.77241,                0.97898,                0.92803,                      1,                  0.995,                 0.8955,                0.54968,                 1.8542,                 1.4393,             0.00024983,             0.00024983,             0.00024983
                     45,                0.39684,                0.75963,                0.98103,                0.93111,                      1,                  0.995,                 0.8955,                0.63941,                 1.8294,                 1.4828,             0.00024112,             0.00024112,             0.00024112
                     46,                0.37049,                0.71831,                 0.9897,                0.93111,                      1,                  0.995,                 0.8955,                0.63941,                 1.8294,                 1.4828,             0.00023175,             0.00023175,             0.00023175
                     47,                0.40592,                0.70926,                0.99066,                0.93944,                      1,                  0.995,                 0.8955,                0.57225,                 1.7708,                 1.3568,             0.00022172,             0.00022172,             0.00022172
                     48,                0.47415,                0.83999,                 1.0421,                0.93944,                      1,                  0.995,                 0.8955,                0.57225,                 1.7708,                 1.3568,             0.00021103,             0.00021103,             0.00021103
                     49,                0.49776,                0.76789,                  1.013,                0.94432,                      1,                  0.995,                 0.8955,                0.47219,                 1.8853,                 1.2611,             0.00019968,             0.00019968,             0.00019968
                     50,                 0.3747,                0.67467,                0.97184,                0.94432,                      1,                  0.995,                 0.8955,                0.47219,                 1.8853,                 1.2611,             0.00018767,             0.00018767,             0.00018767
                     51,                0.32388,                0.77568,                0.87278,                0.95541,                      1,                  0.995,                 0.8955,                0.41738,                 1.7979,                 1.1442,               0.000175,               0.000175,               0.000175
                     52,                0.28257,                0.76246,                0.90964,                0.95541,                      1,                  0.995,                 0.8955,                0.41738,                 1.7979,                 1.1442,             0.00016167,             0.00016167,             0.00016167
                     53,                0.29205,                0.79396,                0.84317,                0.95541,                      1,                  0.995,                 0.8955,                0.41738,                 1.7979,                 1.1442,             0.00014768,             0.00014768,             0.00014768
                     54,                0.30234,                0.82516,                0.94037,                0.95875,                      1,                  0.995,                 0.8955,                0.35795,                 1.7478,                 1.0442,             0.00013303,             0.00013303,             0.00013303
                     55,                0.21711,                0.73194,                0.76832,                0.95875,                      1,                  0.995,                 0.8955,                0.35795,                 1.7478,                 1.0442,             0.00011772,             0.00011772,             0.00011772
                     56,                 0.2657,                0.76315,                0.98108,                0.95875,                      1,                  0.995,                 0.8955,                0.35795,                 1.7478,                 1.0442,             0.00010175,             0.00010175,             0.00010175
                     57,                0.27641,                0.79808,                0.97644,                0.96468,                      1,                  0.995,                 0.8955,                0.32791,                 1.6101,                 1.0213,              8.512e-05,              8.512e-05,              8.512e-05
                     58,                0.31557,                0.86232,                0.97346,                0.96468,                      1,                  0.995,                 0.8955,                0.32791,                 1.6101,                 1.0213,              6.783e-05,              6.783e-05,              6.783e-05
                     59,                0.22935,                0.72754,                0.87549,                0.96468,                      1,                  0.995,                 0.8955,                0.32791,                 1.6101,                 1.0213,              4.988e-05,              4.988e-05,              4.988e-05
                     60,                0.22769,                0.68826,                0.83819,                 0.9666,                      1,                  0.995,                  0.995,                0.31969,                 1.5852,                 1.0105,              3.127e-05,              3.127e-05,              3.127e-05
